Title,Affiliation,Cited By Count,Aggregation Type,Author Keywords,Index Keywords,Abstract,Description,DOI,eid,Open Access?
Surveying earth resources by remote sensing from satellites,"['60006337', 'NASA Goddard Space Flight Center', 'Greenbelt', 'United States']",6,Journal,[],[],"This paper reviews the techniques and recent results of orbital remote sensing, with emphasis on Landsat and Skylab imagery. Landsat (formerly ERTS) uses electronic sensors (scanners and television) for repetitive observations with moderate ground resolution. The Skylab flights used a wider range of electro-optical sensors and returned film cameras with moderate and high ground resolution. Data from these programs have been used successfully in many fields. For mineral resources, satellite observations have proven valuable in geologic mapping and in exploration for metal, oil, and gas deposits, generally as a guide for other (conventional) techniques. Water resource monitoring with satellite data has included hydrologic mapping, soil moisture studies, and snow surveys. Marine resources have been studied, with applications in the fishing industry and in ocean transportation. Agricultural applications, benefiting from the repetitive coverage possible with satellites, have been especially promising. Crop inventories are being conducted, as well as inventories of timber and rangeland. Overgrazing has been monitored in several areas. Finally, environmental quality has also proven susceptible to orbital remote sensing; several types of water pollution have been successfully monitored. The effects of mining and other activities on the land can also be studied. The future of orbital remote sensing in global monitoring of the Earth's resources seems assured. However, efforts to extend spectral range, increase resolution, and solve cloud-cover problems must be continued. Broad applications of computer analysis techniques are vital to handle the immense amount of information produced by satellite sensors. © 1976 D. Reidel Publishing Company.","This paper reviews the techniques and recent results of orbital remote sensing, with emphasis on Landsat and Skylab imagery. Landsat (formerly ERTS) uses electronic sensors (scanners and television) for repetitive observations with moderate ground resolution. The Skylab flights used a wider range of electro-optical sensors and returned film cameras with moderate and high ground resolution. Data from these programs have been used successfully in many fields. For mineral resources, satellite observations have proven valuable in geologic mapping and in exploration for metal, oil, and gas deposits, generally as a guide for other (conventional) techniques. Water resource monitoring with satellite data has included hydrologic mapping, soil moisture studies, and snow surveys. Marine resources have been studied, with applications in the fishing industry and in ocean transportation. Agricultural applications, benefiting from the repetitive coverage possible with satellites, have been especially promising. Crop inventories are being conducted, as well as inventories of timber and rangeland. Overgrazing has been monitored in several areas. Finally, environmental quality has also proven susceptible to orbital remote sensing; several types of water pollution have been successfully monitored. The effects of mining and other activities on the land can also be studied. The future of orbital remote sensing in global monitoring of the Earth's resources seems assured. However, efforts to extend spectral range, increase resolution, and solve cloud-cover problems must be continued. Broad applications of computer analysis techniques are vital to handle the immense amount of information produced by satellite sensors. © 1976 D. Reidel Publishing Company.",10.1007/BF01454194,2-s2.0-34250384506,FALSE
"Visual interpretation of landsat-1 imagery of central and southern districts of Haryana state, India","['60023050', 'CCS Haryana Agricultural University', 'Hisar', 'India']",4,Journal,[],[],"LANDSAT-MSS data in the form of a false colour composite image at a scale of 1:250,000 has been used to produce terrain unit maps of parts of north west India. The area of study consisted of central and southern districts of Haryana State. It has been possible to obtain a qualitative assessment of land use patterns and surface hydrology by means of visual Interpretation. The boundaries between differeat terrain units and moisture regimes were clearly discernible It is felt that comparative studies of false colour infrared imagery over a period of time can provide valuable Information for those engaged in reclamation schemes. In particular, the data can be used to plan reclamation of salt affected and waterlogged lands in semi-arid zones of states like Haryana. © 1976 Springer-Verlag.","LANDSAT-MSS data in the form of a false colour composite image at a scale of 1:250,000 has been used to produce terrain unit maps of parts of north west India. The area of study consisted of central and southern districts of Haryana State. It has been possible to obtain a qualitative assessment of land use patterns and surface hydrology by means of visual Interpretation. The boundaries between differeat terrain units and moisture regimes were clearly discernible It is felt that comparative studies of false colour infrared imagery over a period of time can provide valuable Information for those engaged in reclamation schemes. In particular, the data can be used to plan reclamation of salt affected and waterlogged lands in semi-arid zones of states like Haryana. © 1976 Springer-Verlag.",10.1007/BF02989266,2-s2.0-65749309793,FALSE
Digital pre-processing techniques of landsat data in high relief area-an Himalayan example,"['60017915', 'Faculty of Geo-Information Science and Earth Observation – ITC', 'Enschede', 'Netherlands']",0,Journal,[],[],"The analysis of the Landsat data for a Himalayan Test area recorded with a low sun elevation has shown that most of the information is due to illumination and shadow effects, which can be satisfactorily separated from the effects of the ground-cover on the radiance levels, by using the PC analysis and the Euclidean Distance and Directional Cosine techniques. At the same time effective data compression is achieved without loss of information. For a visual interpretation, both the images of ""relief"" and ""groundcover"" are necessary. Proper location, using drainage divides and channel network may be done on the ""relief"" image. Vegetation boundaries appear on the other image. Comparison of groundcover images of September 1972 and May 1974 indicates the utility of these these techniques for sequential studies, particularly the separation of deciduous and non-deciduous vegetation in a broad manner. © 1976 Springer-Verlag.","The analysis of the Landsat data for a Himalayan Test area recorded with a low sun elevation has shown that most of the information is due to illumination and shadow effects, which can be satisfactorily separated from the effects of the ground-cover on the radiance levels, by using the PC analysis and the Euclidean Distance and Directional Cosine techniques. At the same time effective data compression is achieved without loss of information. For a visual interpretation, both the images of ""relief"" and ""groundcover"" are necessary. Proper location, using drainage divides and channel network may be done on the ""relief"" image. Vegetation boundaries appear on the other image. Comparison of groundcover images of September 1972 and May 1974 indicates the utility of these these techniques for sequential studies, particularly the separation of deciduous and non-deciduous vegetation in a broad manner. © 1976 Springer-Verlag.",10.1007/BF02989263,2-s2.0-65749308836,FALSE
"The geology of the angareb ring dike complex, northwestern ethiopia","['60010756', 'The University of Texas at Austin', 'Austin', 'United States']",10,Journal,[],[],"The Angareb Ring Dike Complex is located in Begemder Province in northwestern Ethiopia, 55 kilometers NNW of the provincial capital Gondar. The structure was first identified in 1973 from Landsat 1 satellite imagery analysis of the East African Rift System. The complex is exposed on the floor of the Tana Graben, a feature bearing structural affinity to the East African Rift. A post-early Miocene age is ascribed to the complex. Association with other as yet univestigated circular features may define a volcanic province of early continental rifting in Ethiopia. Contained within the ring structure is a heterogenous tuff breccia of over 100 cubic kilometers in volume, composed of massive agglomorates, ash flows, welded tuffs, and subaqueous tuffs. The tuff is interpreted as filling a subsiding caldron above an eviscerating magma chamber. Mineralogy and chemical analyses depict a fractionating basaltic magma of transitional-mildly alkaline composition. Partial melting of the Precambrian basement is envisioned to explain the subalkaline granites. Comparison of chemical data with regional petrochemical interpretations suggests that the complex represents the beginning of central vent activity in the waning stages of Tertiary volcanism in Ethiopia. © 1976 Stabilimento Tipografico Francesco Giannini & Figli.","The Angareb Ring Dike Complex is located in Begemder Province in northwestern Ethiopia, 55 kilometers NNW of the provincial capital Gondar. The structure was first identified in 1973 from Landsat 1 satellite imagery analysis of the East African Rift System. The complex is exposed on the floor of the Tana Graben, a feature bearing structural affinity to the East African Rift. A post-early Miocene age is ascribed to the complex. Association with other as yet univestigated circular features may define a volcanic province of early continental rifting in Ethiopia. Contained within the ring structure is a heterogenous tuff breccia of over 100 cubic kilometers in volume, composed of massive agglomorates, ash flows, welded tuffs, and subaqueous tuffs. The tuff is interpreted as filling a subsiding caldron above an eviscerating magma chamber. Mineralogy and chemical analyses depict a fractionating basaltic magma of transitional-mildly alkaline composition. Partial melting of the Precambrian basement is envisioned to explain the subalkaline granites. Comparison of chemical data with regional petrochemical interpretations suggests that the complex represents the beginning of central vent activity in the waning stages of Tertiary volcanism in Ethiopia. © 1976 Stabilimento Tipografico Francesco Giannini & Figli.",10.1007/BF02599825,2-s2.0-0017025996,FALSE
Megalineament pattern of gujarat from landsat imagery an attempt to fit into the geological framework,"['60007281', 'National Remote Sensing Agency India', 'Hyderabad', 'India']",1,Journal,[],[],"The American LANDSAT-I Satellite has acquired Multispectral Scanner Data on four discrete wave-length bands from the green to the near IR spectral regions of almost the entire land area of the world, often repetitively. The territory of Gujarat State and the adjoining region falls on 20 overlapping LANDSAT frames, each of 185 X 185 Kms. Linear features exposed on these individual itnages are many times enhanced when viewed in combination. A number of these lineaments, particularly those with long surficial extent and contrasting expression, reflect the dominat geological trend lines, fracture Systems and tectonic features. An interpretation of the photo format imagery, acquired in late 1972 using Single band as well as additive combination techniques, is presented. An attempt is made to explain the geological signiflcance or lack of it in the case of the dominant lineaments (megalineaments), taking intoconsideration the known geological framework of the area. The methodology for extending such analytical work to areas less known is outlined. © 1976 Springer-Verlag.","The American LANDSAT-I Satellite has acquired Multispectral Scanner Data on four discrete wave-length bands from the green to the near IR spectral regions of almost the entire land area of the world, often repetitively. The territory of Gujarat State and the adjoining region falls on 20 overlapping LANDSAT frames, each of 185 X 185 Kms. Linear features exposed on these individual itnages are many times enhanced when viewed in combination. A number of these lineaments, particularly those with long surficial extent and contrasting expression, reflect the dominat geological trend lines, fracture Systems and tectonic features. An interpretation of the photo format imagery, acquired in late 1972 using Single band as well as additive combination techniques, is presented. An attempt is made to explain the geological signiflcance or lack of it in the case of the dominant lineaments (megalineaments), taking intoconsideration the known geological framework of the area. The methodology for extending such analytical work to areas less known is outlined. © 1976 Springer-Verlag.",10.1007/BF02989264,2-s2.0-0008207517,FALSE
REMOTE SENSING IN URANIUM EXPLORATION.,"['', '', '', '']",0,Journal,[],['SATELLITE MINING APPLICATIONS'],"The spectral bands of Landsat are not optimum for discrimination, but several studies show that enhancement of Landsat images permits effective mapping of altered ground in some areas. Altered ground in uranium areas has been successfully defined at Cameron, Arizona and Crooks Gap and the Powder River Basin in Wyoming. The Wyoming studies, described in some detail, resulted in unambiguous discrimination of red alteration at Crooks Gap but only partial distinction of red altered ground from yellow-weathering areas in the Powder River Basin. In South Texas, heavy vegetation severely limits the detection of reflectance differences in geological materials or of structural features. Thermal-infrared images of the Texas area aid in detection and mapping of channel-fill deposits, potential loci of uranium mineralization in the Miocene Catahoula Tuff.","The spectral bands of Landsat are not optimum for discrimination, but several studies show that enhancement of Landsat images permits effective mapping of altered ground in some areas. Altered ground in uranium areas has been successfully defined at Cameron, Arizona and Crooks Gap and the Powder River Basin in Wyoming. The Wyoming studies, described in some detail, resulted in unambiguous discrimination of red alteration at Crooks Gap but only partial distinction of red altered ground from yellow-weathering areas in the Powder River Basin. In South Texas, heavy vegetation severely limits the detection of reflectance differences in geological materials or of structural features. Thermal-infrared images of the Texas area aid in detection and mapping of channel-fill deposits, potential loci of uranium mineralization in the Miocene Catahoula Tuff.",,2-s2.0-85095909989,
RECENT DEVELOPMENTS AND EVALUATION OF SELECTED GEOCHEMICAL TECHNIQUES APPLIED TO URANIUM EXPLORATION.,"['', '', '', '']",4,Journal,[],[],"Radium-226 and its parent uranium-238 occur in mineral spring water largely independently of the geochemistry of the solutions and thus are potential indicators of uranium in source rocks. Studies of surface water samples have resulted in improved standardized sample treatment and collection procedures. Stream discharge has been shown to have a significant effect on uranium concentration, while conductivity shows promise as a ″pathfinder″ for uranium. The advantages of the designed sample collecting system are that only a small quantity, typically one drop, of water is required and sample manipulation is minimized, thereby reducing contamination risks. The fission-track analytical technique is effective at the uranium concentration levels commonly found in natural waters (5. 0-0. 01 mu g/litre). Landsat data were used to detect alteration associated with uranium deposits.","Radium-226 and its parent uranium-238 occur in mineral spring water largely independently of the geochemistry of the solutions and thus are potential indicators of uranium in source rocks. Studies of surface water samples have resulted in improved standardized sample treatment and collection procedures. Stream discharge has been shown to have a significant effect on uranium concentration, while conductivity shows promise as a ″pathfinder″ for uranium. The advantages of the designed sample collecting system are that only a small quantity, typically one drop, of water is required and sample manipulation is minimized, thereby reducing contamination risks. The fission-track analytical technique is effective at the uranium concentration levels commonly found in natural waters (5. 0-0. 01 mu g/litre). Landsat data were used to detect alteration associated with uranium deposits.",,2-s2.0-85095906098,
"SYMPOSIUM ON MACHINE PROCESSING OF REMOTELY SENSED DATA, 1976.","['', '', '', '']",0,Journal,[],['LANDSAT DATA'],"Forty-one papers are presented on the following topics: a multidimensional look at remote sensing; data processing systems; natural resources applications; data analysis; USDA Statistical Reporting Service applications; transfer of remote sensing technology; preprocessing; and agriculture and forestry applications. The majority of these papers deal with LANDSAT data. Abstracts of 12 short papers are also included, as well as abstracts for two research forums, one on data processing and one on applications. Selected papers are indexed separately.","Forty-one papers are presented on the following topics: a multidimensional look at remote sensing; data processing systems; natural resources applications; data analysis; USDA Statistical Reporting Service applications; transfer of remote sensing technology; preprocessing; and agriculture and forestry applications. The majority of these papers deal with LANDSAT data. Abstracts of 12 short papers are also included, as well as abstracts for two research forums, one on data processing and one on applications. Selected papers are indexed separately.",,2-s2.0-85069380279,
HYDROGEOLOGICAL APPLICATIONS OF EARTH RESOURCES TECHNOLOGY SATELLITE LANDSAT I IMAGERY.,"['', '', '', '']",0,Journal,[],['HYDROGEOLOGY'],"A correlation of LANDSAT I imagery with various hydrogeological and surficial geology features in the Winnipeg area, Manitoba, and the Ottawa (Ontario) - Montreal (Quebec) area of Canada is presented. The study includes the identification of groundwater recharge and discharge areas and artesian zones; areas of freshwater discharge into surface-water bodies; and the identification of mapping of various types of surficial deposits.","A correlation of LANDSAT I imagery with various hydrogeological and surficial geology features in the Winnipeg area, Manitoba, and the Ottawa (Ontario) - Montreal (Quebec) area of Canada is presented. The study includes the identification of groundwater recharge and discharge areas and artesian zones; areas of freshwater discharge into surface-water bodies; and the identification of mapping of various types of surficial deposits.",,2-s2.0-85041991832,
"ALASKAN MINERAL RESOURCE ASSESSMENT PROGRAM: BACKGROUND INFORMATION TO ACCOMPANY FOLIO OF GEOLOGIC AND MINERAL RESOURCE MAPS OF THE TANACROSS QUADRANGLE, ALASKA.","['', '', '', '']",4,Journal,[],[],"the Tanacross quadrangle, consisting of 17,400 km**2 in east-central Alaska, was investigated by an interdisciplinary research team for the purpose of assessing the mineral resource potential of the quadrangle. This report provides the background information for a folio of maps on the geology, geophysics, reconnaissance geochemistry. Landsat imagery, and mineral resource evaluation of the quadrangle. Revisions to the previously published geologic map of the Tanacross quadrangle, 18 new potassium-argon ages, and a comprehensive bibliography are also included. Refs.","the Tanacross quadrangle, consisting of 17,400 km**2 in east-central Alaska, was investigated by an interdisciplinary research team for the purpose of assessing the mineral resource potential of the quadrangle. This report provides the background information for a folio of maps on the geology, geophysics, reconnaissance geochemistry. Landsat imagery, and mineral resource evaluation of the quadrangle. Revisions to the previously published geologic map of the Tanacross quadrangle, 18 new potassium-argon ages, and a comprehensive bibliography are also included. Refs.",,2-s2.0-85041990251,
"BASELINE DATA ON THE OCEANOGRAPHY OF COOK INLET, ALASKA.","['', '', '', '']",7,Journal,[],['ARTIFICIAL SATELLITES'],"The primary objective of the investigation described was to compile baseline information pertaining to the ocean circulation, especially the extent and patterns of tidal currents and tidal flushing, in Cook Inlet, Alaska, utilizing aircraft and satellite imagery with corroborative ground truth data. Regional relationships between river hydrology, sediment transport, circulation and coastal processes were analyzed utilizing aircraft, LANDSAT-1 and NOAA-2 and -3 imagery and corroborative ground truth data. The use of satellite and aircraft imagery is shown to provide a means of acquiring synoptic information for analyzing the dynamic processes of Cook Inlet in a fashion not previously possible.","The primary objective of the investigation described was to compile baseline information pertaining to the ocean circulation, especially the extent and patterns of tidal currents and tidal flushing, in Cook Inlet, Alaska, utilizing aircraft and satellite imagery with corroborative ground truth data. Regional relationships between river hydrology, sediment transport, circulation and coastal processes were analyzed utilizing aircraft, LANDSAT-1 and NOAA-2 and -3 imagery and corroborative ground truth data. The use of satellite and aircraft imagery is shown to provide a means of acquiring synoptic information for analyzing the dynamic processes of Cook Inlet in a fashion not previously possible.",,2-s2.0-85041984947,
Development of techniques for producing static strata maps and development of photointerpretation methods based on multitemporal Landsat data.,"['', '', '', '']",0,Journal,[],[],"The progress of research conducted in support of the Large Area Crop Inventory Experiment (LACIE) is documented. Specific tasks include 1) evaluation of the static stratification procedure and modification of that procedure if warranted, and 2) the development of alternative photointerpretative techniques to the present LACIE procedures for the identification and selection of training fields (areas).-from NASA Abstract E83-10160","The progress of research conducted in support of the Large Area Crop Inventory Experiment (LACIE) is documented. Specific tasks include 1) evaluation of the static stratification procedure and modification of that procedure if warranted, and 2) the development of alternative photointerpretative techniques to the present LACIE procedures for the identification and selection of training fields (areas).-from NASA Abstract E83-10160",,2-s2.0-85040380412,
TWO SLANTED VIEWS OF ANTARCTICA,"['117037169', 'Directorate of Overseas Surveys', '', '']",2,Journal,[],[],"Antarctica, with its vast areas of snow, presents unusual problems to the photogrammetrist and the cartographer. The paper describes two methods used by the Directorate of Overseas Surveys to overcome these problems and to produce 1: 250 000 scale mapping. The first part of the paper gives an account of the use which was made of tricamera photography, with particular emphasis on the adaptation of Williamson multiplex equipment to operate with the oblique elements of tricamera photography. The second part of the paper, after outlining some of the fundamental principles of ERTS 1 (Landsat) imagery, goes on to describe the application of these principles when utilising imagery in the production of much needed image and line maps of Antarctic areas. Accuracies achieved by the two methods and their relative economies are discussed.  L'Antarctique, avec ses vastes étendues de neige, pose des problèmes particuliers au photogrammètre et au cartographe. On décrit ici deux méthodes utilisées par le Directorate of Overseas Surveys pour produire la carte au 1: 250 000. La première consiste à employer pour la prise de vues une chambre triple, associée pour la restitution à un multiplex Williamson modifié pour I'exploitation des vues obliques. La deuxième consiste en une tentative d'utilisation des images satellitaires ERTS 1 (Landsat). On analyse Vexactitude et le prix de revient des deux méthodes.  Die Antarktis bietet dem Photogrammeter und Kartographen mit ihren riesigen Schneeflächen ungewöhnliche Probleme. Im Artikel werden 2 vom Directorate of Overseas Surveys angewandte Verfahren beschrieben, um diese Schwierigkeiten zu überwinden und Karten im Massstab 1: 250 000 herzustellen. Im 1. Teil der Arbeit wird über die Anwendung von Dreikammer‐Aufnahmen berichtet, wobei insbesondere auf die Adaption des Williamson‐Multiplexgerätes zur Auswertung der dabei mit aufgenommenen Schrägbilder eingegangen wird. Im 2. Teil des Artikels werden die grundlegenden Prinzipien der ERTS (Landsat)‐Aufnahmen skizziert und deren Anwendung zur Herstellung der dringend benötigten Bild‐ und Linienkarten antarktischer Gebiete beschrieben. Die mit den beiden Verfahren erzielten Genauigkeiten und ihre relative Wirtschaftlichkeit werden diskutiert. Copyright © 1976, Wiley Blackwell. All rights reserved","Antarctica, with its vast areas of snow, presents unusual problems to the photogrammetrist and the cartographer. The paper describes two methods used by the Directorate of Overseas Surveys to overcome these problems and to produce 1: 250 000 scale mapping. The first part of the paper gives an account of the use which was made of tricamera photography, with particular emphasis on the adaptation of Williamson multiplex equipment to operate with the oblique elements of tricamera photography. The second part of the paper, after outlining some of the fundamental principles of ERTS 1 (Landsat) imagery, goes on to describe the application of these principles when utilising imagery in the production of much needed image and line maps of Antarctic areas. Accuracies achieved by the two methods and their relative economies are discussed.  L'Antarctique, avec ses vastes étendues de neige, pose des problèmes particuliers au photogrammètre et au cartographe. On décrit ici deux méthodes utilisées par le Directorate of Overseas Surveys pour produire la carte au 1: 250 000. La première consiste à employer pour la prise de vues une chambre triple, associée pour la restitution à un multiplex Williamson modifié pour I'exploitation des vues obliques. La deuxième consiste en une tentative d'utilisation des images satellitaires ERTS 1 (Landsat). On analyse Vexactitude et le prix de revient des deux méthodes.  Die Antarktis bietet dem Photogrammeter und Kartographen mit ihren riesigen Schneeflächen ungewöhnliche Probleme. Im Artikel werden 2 vom Directorate of Overseas Surveys angewandte Verfahren beschrieben, um diese Schwierigkeiten zu überwinden und Karten im Massstab 1: 250 000 herzustellen. Im 1. Teil der Arbeit wird über die Anwendung von Dreikammer‐Aufnahmen berichtet, wobei insbesondere auf die Adaption des Williamson‐Multiplexgerätes zur Auswertung der dabei mit aufgenommenen Schrägbilder eingegangen wird. Im 2. Teil des Artikels werden die grundlegenden Prinzipien der ERTS (Landsat)‐Aufnahmen skizziert und deren Anwendung zur Herstellung der dringend benötigten Bild‐ und Linienkarten antarktischer Gebiete beschrieben. Die mit den beiden Verfahren erzielten Genauigkeiten und ihre relative Wirtschaftlichkeit werden diskutiert. Copyright © 1976, Wiley Blackwell. All rights reserved",10.1111/j.1477-9730.1976.tb00851.x,2-s2.0-84979111690,FALSE
Real-time optical subtraction of photographic imagery for difference detection,"['60025750', 'Aerodyne Research, Inc.', 'Billerica', 'United States']",0,Journal,[],[],"Interferometric techniques described in this paper permit real-time optical image subtraction of two input photograph transparencies without the necessity of intermediate processing steps (e.g., holograms or contact-print transparencies). These interferometric techniques allow the use of a white-light source as well as an extended light source, small input-collimator optics, and optical components with minimal requirements on wavefront quality. Experimental results with NASA LANDSAT (formerly ERTS) photographs are presented. © 1976 Optical Society of America.","Interferometric techniques described in this paper permit real-time optical image subtraction of two input photograph transparencies without the necessity of intermediate processing steps (e.g., holograms or contact-print transparencies). These interferometric techniques allow the use of a white-light source as well as an extended light source, small input-collimator optics, and optical components with minimal requirements on wavefront quality. Experimental results with NASA LANDSAT (formerly ERTS) photographs are presented. © 1976 Optical Society of America.",10.1364/AO.15.000871,2-s2.0-84975561046,FALSE
A four-dimensional histogram approach to the clustering of landsat data,"['60005603', 'Canada Centre for Remote Sensing', 'Ottawa', 'Canada']",9,Journal,[],[],,,10.1080/07038992.1976.10854944,2-s2.0-84951577406,
Remote Sensing Techniques in Vegetation Mapping,"['115978842', 'Telemark distriktshøgskole', 'Bo', 'Norway']",1,Journal,[],[],"Hesjedal, O. 1976. Remote Sensing Techniques in Vegetation Mapping. Norsk geogr. Tidsskr. 30, 57-61. A methodology based on integration of interpretation and field control is described. Results from experiments with panchromatic film at different scales, colour-infrared film, multiband photography (using black and white infrared-sensitive film in a 4-lense camera), MSS-exposures (from Landsat-1) and densitometry techniques (using contour film) in vegetation mapping are reported. All experiments are based on visual interpretation, using stereoscopes or additive colour viewers. Automated photo-analysis is briefly mentioned. Possibilities and limitations with the use of the different techniques in vegetation mapping are discussed. © 1976, Taylor & Francis Group, LLC. All rights reserved.","Hesjedal, O. 1976. Remote Sensing Techniques in Vegetation Mapping. Norsk geogr. Tidsskr. 30, 57-61. A methodology based on integration of interpretation and field control is described. Results from experiments with panchromatic film at different scales, colour-infrared film, multiband photography (using black and white infrared-sensitive film in a 4-lense camera), MSS-exposures (from Landsat-1) and densitometry techniques (using contour film) in vegetation mapping are reported. All experiments are based on visual interpretation, using stereoscopes or additive colour viewers. Automated photo-analysis is briefly mentioned. Possibilities and limitations with the use of the different techniques in vegetation mapping are discussed. © 1976, Taylor & Francis Group, LLC. All rights reserved.",10.1080/00291957608551993,2-s2.0-84947195099,FALSE
Reproducibility of geological lineaments and other discrete features interpreted from imagery: measurement by a coefficient of association,"['60005750', 'CSIRO Minerals', 'Melbourne', 'Australia']",9,Journal,[],[],"A characteristic of discrete natural features annotated on aerial photographs or satellite imagery by a photointerpreter, is the lack of 100% reproducibility between different annotations of the same scene by different observers or by the same observer on different occasions. A measure of reproducibility, R, is defined and applied to geological lineaments, but can be extended to themes of any shape or connectivity, such as water masses, forest areas, soil types or urban themes. It is termed nongeometric since it differs from correlation coefficients based upon geometric lineament properties, such as length and trend. Reproducibility is defined as a quantified coefficient of association for the logical quantity, on-line, which is the number of times a given pixel is classified as being on a lineament. Reproducibility may be measured by digital techniques or by three analog techniques termed ""traverse"", ""length"", and ""areal"". Since different measurement techniques do not yield identical results, we label the reproducibility R1, R2, R3, and R4, respectively, in ordér to distinguish the measuring technique. Reproducibilities can be compared for a number of annotations provided line width, image scale, and measuring technique are held constant. Comparisons suggest that (i) for Skylab photography, reproducibility of density extrema (but not of density gradients), increases with resolution; (ii) for Landsat-1 imagery, reproducibility within spectral bands is higher than between bands; (iii) for imagery from different sources, the effect on reproducibility is larger for different sources than for different observers; (iv) reproducibility varies with spatial shift, with a peak at zero shift (that is, when annotations are registered), indicating the presence of a signal; and (v) fluctuations in reproducibility within a scene appear to be unrelated to image quality or rock type. Better spatial discrimination is possible from Landsat imagery than from topographic relief shading derived from aerial photography. © 1976.","A characteristic of discrete natural features annotated on aerial photographs or satellite imagery by a photointerpreter, is the lack of 100% reproducibility between different annotations of the same scene by different observers or by the same observer on different occasions. A measure of reproducibility, R, is defined and applied to geological lineaments, but can be extended to themes of any shape or connectivity, such as water masses, forest areas, soil types or urban themes. It is termed nongeometric since it differs from correlation coefficients based upon geometric lineament properties, such as length and trend. Reproducibility is defined as a quantified coefficient of association for the logical quantity, on-line, which is the number of times a given pixel is classified as being on a lineament. Reproducibility may be measured by digital techniques or by three analog techniques termed ""traverse"", ""length"", and ""areal"". Since different measurement techniques do not yield identical results, we label the reproducibility R1, R2, R3, and R4, respectively, in ordér to distinguish the measuring technique. Reproducibilities can be compared for a number of annotations provided line width, image scale, and measuring technique are held constant. Comparisons suggest that (i) for Skylab photography, reproducibility of density extrema (but not of density gradients), increases with resolution; (ii) for Landsat-1 imagery, reproducibility within spectral bands is higher than between bands; (iii) for imagery from different sources, the effect on reproducibility is larger for different sources than for different observers; (iv) reproducibility varies with spatial shift, with a peak at zero shift (that is, when annotations are registered), indicating the presence of a signal; and (v) fluctuations in reproducibility within a scene appear to be unrelated to image quality or rock type. Better spatial discrimination is possible from Landsat imagery than from topographic relief shading derived from aerial photography. © 1976.",10.1016/0034-4257(76)90055-9,2-s2.0-49549132760,FALSE
